timestamp,price,quantity,side,tradeId
1750568400946,81,4.851,buy,293588443
1750568402570,81,6.139,buy,293588444
1750568402678,81.01,0.638,buy,293588445
1750568410292,81.02,5.406,buy,293588446
1750568410293,81.02,0.065,buy,293588447
1750568410708,81.02,0.323,sell,293588448
1750568410791,81.02,6.034,buy,293588449
1750568415429,81.01,0.316,sell,293588450
1750568420792,81.02,5.418,buy,293588451
1750568425379,81.02,3.57,buy,293588452
1750568425797,81.03,0.517,buy,293588453
1750568427478,81.04,4.138,buy,293588454
1750568427653,81.05,0.393,buy,293588455
1750568432628,81.06,3.024,buy,293588456
1750568432732,81.07,0.452,buy,293588457
1750568432734,81.07,0.065,buy,293588458
1750568433455,81.08,0.104,buy,293588459
1750568437008,81.07,1.702,sell,293588460
1750568439064,81.06,0.246,sell,293588461
1750568439565,81.07,0.124,buy,293588462
1750568440791,81.07,6.185,buy,293588463
1750568444159,81.08,0.214,buy,293588464
1750568445787,81.08,5.372,buy,293588465
1750568447440,81.08,0.186,buy,293588466
1750568447829,81.07,2.795,sell,293588467
1750568448016,81.06,1.181,sell,293588468
1750568448389,81.07,0.287,buy,293588469
1750568450799,81.06,5.706,buy,293588470
1750568459574,81.06,4.49,buy,293588471
1750568459574,81.07,0.217,buy,293588472
1750568459574,81.08,56.961,buy,293588473
1750568459816,81.08,12.934,buy,293588474
1750568460001,81.07,1.125,sell,293588475
1750568468545,81.07,0.099,buy,293588476
1750568470791,81.07,5.453,buy,293588477
1750568470918,81.07,6.837,buy,293588478
1750568475787,81.08,2.673,buy,293588479
1750568475812,81.09,3.246,buy,293588480
1750568476788,81.09,10.611,buy,293588481
1750568477023,81.09,3.695,buy,293588482
1750568477023,81.1,12.052,buy,293588483
1750568477023,81.11,8.479,buy,293588484
1750568477024,81.12,1.742,buy,293588485
1750568477027,81.13,0.068,buy,293588486
1750568477136,81.13,0.124,buy,293588487
1750568477136,81.14,1.001,buy,293588488
1750568477388,81.15,0.739,buy,293588489
